web-scraper-order,web-scraper-start-url,productName,productPrice,modelNo,productCategory,productDescription
"1678982471-1","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Dell G15 Ryzen Edition Gaming 15 Laptop","$919.00","Dell G15 Ryzen Edition Gaming Laptop","Gaming Desktops & Laptops","Dell G15 Ryzen Edition Gaming 15 Laptop 15.6"" FHD 120Hz Anti-glare Display AMD Hexa-Core Ryzen 5 5600H 8GB DDR4 256GB SSD GeFore RTX 3050 4GB Backlit Keyboard HDMI USB-C WIFI6 Win10 Grey"
"1678982471-2","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Recertified Dell ALIENWARE 17 R3 FHD Gaming Laptop","$999.90","ANW17-2143SLV","Gaming Desktops & Laptops","Recertified Dell ALIENWARE 17 R3 FHD Gaming Laptop ( Intel Core i7-6820HK 2.70Ghz, 16GB Ram, 256GB SSD + 1TB HD, Nvidia GTX 980M 4GB, WIN 10 Pro ) Grade A"
"1678982471-3","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Dell G15 15.6"" FHD 120Hz Gaming Notebook","$839.99","G15RE-A975GRY-N","Gaming Desktops & Laptops","Dell G15 15.6"" FHD 120Hz Gaming Notebook, AMD Ryzen 7 5800H, NVIDIA GeForce RTX 3050 Ti, 8GB RAM, 512GB PCIe SSD, Phantom Grey, Windows 11 Home"
"1678982471-4","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Dell G15 Gaming Laptop","$899.00","AMD Ryzen 5 5600H","Gaming Desktops & Laptops","Dell G15 Gaming Laptop Phantom Grey, 15.6'' FHD 120Hz Display, Hexa-Core AMD Ryzen 5 5600H 3.3 GHz, GeForce RTX 3050, 8GB RAM, 512GB NVMe SSD, Wi-Fi 6, USB-C/HDMI/RJ-45, Mytrix HDMI Cable, Win 10"
"1678982471-5","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Dell Alienware 15 R4","$7,636.08","AW15R4-7712SLV-PUS+QQ2-00728","Gaming Desktops & Laptops","Dell Alienware 15 R4 15.6"" Gaming Laptop Intel Core i7 16GB  + Office 365 Bundle"
"1678982471-6","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Dell Gaming G15 5510, 15.6 Inch RTX 3060 Gaming Laptop","$1,974.85","K535V","Gaming Desktops & Laptops","Dell Gaming G15 5510, 15.6 Inch RTX 3060 Gaming Laptop Full HD - Intel Core i7-10870H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3060 6GB GDDR6, Windows 10 Home - Grey (Latest Model)"
"1678982471-7","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Used Dell Inspiron 15 7000 Series Gaming Edition 7567 15.6-Inch Full HD Screen Laptop","$1,025.93","7567","Gaming Desktops & Laptops","Used Dell Inspiron 15 7000 Series Gaming Edition 7567 15.6-Inch Full HD Screen Laptop - Intel Quad-Core i7-7700HQ, 1 TB Hybrid HDD, 16GB DDR4 Memory, NVIDIA GTX 1050 4GB Graphics, Windows 10"
"1678982471-8","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Alienware - m15 R4 - 15.6"" FHD Gaming laptop","$2,015.98","AWM15R4-7726BLK-PUS","Gaming Desktops & Laptops","Alienware - m15 R4 - 15.6"" FHD Gaming laptop - Intel Core i7 - 16GB Memory - Nvidia RTX3070 - 512GB Solid State Drive - Dark Side of the Moon Notebook AWM15R4-7726BLK-PUS"
"1678982471-9","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Dell G3 Gaming Laptop","$1,774.20","G3579-5965BLK-PUS","Gaming Desktops & Laptops","Dell G3 Gaming Laptop 15.6"", Intel Core i5-8300H, NVIDIA GeForce GTX 1050 4GB, 256GB SSD Storage, 8GB RAM, G3579-5965BLK-PUS"
"1678982471-10","https://www.walmart.com/browse/electronics/dell-gaming-laptops/3944_3951_7052607_1849032_4519159","Dell G15 Ryzen Edition 15 Premium Gaming Laptop","$1,109.00","G15","Gaming Desktops & Laptops","Dell G15 Ryzen Edition 15 Premium Gaming Laptop 15.6"" FHD 120Hz Display AMD Octa-Core Ryzen 7 5800H 8GB DDR4 512GB SSD GeForce RTX 3050 Ti 4GB Backlit Keyboard HDMI USB-C WiFi6 Nahimic Win11"
